Freq. 	 Ampl. 	 Tau 	 Offs
2.09	-0.00112012374315	4.49736649082	-0.000549947554352
2.1	-0.00137881681074	4.58328631168	-0.000517329055035
2.11	-0.00149173312124	4.63911895274	-0.000502294512212
2.12	-0.00135921627015	4.63406554427	-0.000510289223593
2.13	-0.00110422499248	4.52014269128	-0.000550582255444
2.14	-0.00096622334352	4.53739993572	-0.000532672141928
2.15	-0.000893096325944	4.50513000782	-0.000548262757351
2.16	-0.000914660852351	4.46314790313	-0.000563756145229
2.17	-0.00104733980336	4.43118373556	-0.000563499691796
2.18	-0.00127558438328	4.50181425931	-0.000548710866971
2.19	-0.00142977176559	4.56283571309	-0.000538980559027
2.2	-0.001382869138	4.62790308166	-0.000512012194659
2.21	-0.00113332603397	4.50977896706	-0.000553113463561
2.22	-0.000965679380454	4.47846784064	-0.000562593773429
2.23	-0.000904784954008	4.51200531954	-0.000536998922003
2.24	-0.000869575978999	4.42531516022	-0.000578561814269
2.25	-0.000997778095357	4.49273602257	-0.000553669765784
2.26	-0.00117415937464	4.48551728348	-0.000566751193792
2.27	-0.00139702416858	4.58506573781	-0.000540766504456
2.28	-0.00146389982311	4.70462805618	-0.000494016784132
2.29	-0.00125949501236	4.60757750145	-0.000527195641963
2.3	-0.00105215452563	4.52117177566	-0.00055517171292
2.31	-0.000927336023633	4.46887263644	-0.00056861448899
